0 10 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 0 1 1
1 20 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 1 2 0
2 30 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 2 3 0
3 5 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 3 4 0
4 7 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 4 5 0
5 10 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 1 0 0
6 20 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 2 1 0
7 30 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 3 2 0
8 5 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 4 3 0
9 7 0 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 5 4 1
10 3 1 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 6 7 1
11 4 1 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 7 3 0
12 30 1 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 3 8 0
13 300 1 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 8 9 0
14 3 1 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 7 6 0
15 4 1 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 3 7 0
16 30 1 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 8 3 0
17 300 1 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 9 8 1
18 5 2 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 6 1 1
19 5 2 10,10,0,0,0,10,30,100,180,100,100,110,120,100,100,90,150,180,200,230,250,200,210,200 1 6 1
